Geometry;gentid;naam;historiek;straat;huisnr;postcode;gemeente;jaargang;soort;globalid;geo_point_2d
"{""coordinates"": [3.763705561482118, 51.01988260490254], ""type"": ""Point""}";FILM43;Olympia;Olympia / Palace;Mellestraat;114;9000;Gent;1921-1944/1962;WIJK;cb08b258-6f1a-4ece-a0f4-7ec597f62f37;51.0198826049,3.76370556148
"{""coordinates"": [3.71332865569464, 51.05472411208358], ""type"": ""Point""}";FILM48;Rialto;Bruxellois / Rialto;Hoogstraat;47;9000;Gent;1926-1940;WIJK;bb603cae-adfa-4f41-bc29-86240c4ed9d2;51.0547241121,3.71332865569
"{""coordinates"": [3.696340127571486, 51.05977079868378], ""type"": ""Point""}";FILM49;Rio;Verbroedering / King Georges / Rio;Meibloemstraat;86;9000;Gent;1920-1965;WIJK;f3ac62e9-9132-4afe-bb92-3134752e1d46;51.0597707987,3.69634012757
"{""coordinates"": [3.744731818564758, 51.03649393657256], ""type"": ""Point""}";FILM51;Roxy;Roxy;Van den Heckestraat;16;9000;Gent;1943-1963;WIJK;de8def87-c26c-486f-9671-f05810518f2e;51.0364939366,3.74473181856
"{""coordinates"": [3.730698593216123, 51.07424132713531], ""type"": ""Point""}";FILM56;Scaldis;Vooruitzicht / Scaldis;Meulesteedsesteenweg;25;9000;Gent;1910-1972;WIJK;1087b5d5-4907-4eec-a1af-944c654563c0;51.0742413271,3.73069859322
"{""coordinates"": [3.722238071224055, 51.04753898274338], ""type"": ""Point""}";FILM58;Skating Ring;Skating Ring;Bagattenstraat;21;9000;Gent;;EERST;e2538d4a-ce7a-4eff-86ea-6818d5b0d442;51.0475389827,3.72223807122
"{""coordinates"": [3.721262833202181, 51.05373668945301], ""type"": ""Point""}";FILM59;Sphinx;Patria / Regent / Splendid / Palace / Plaza / Calypso / Sphinx;Sint-Michielshelling;6;9000;Gent;1928-heden;CENTRUM;9f7540c9-e7ab-4135-a009-08241ae2c05c;51.0537366895,3.7212628332
"{""coordinates"": [3.733821683319405, 51.04879147505692], ""type"": ""Point""}";FILM60;Studio Skoop;Studio Skoop;Sint-Annaplein;63;9000;Gent;1969-heden;CENTRUM;26929861-cf85-4c9f-b690-e1868d0c11c9;51.0487914751,3.73382168332
"{""coordinates"": [3.723139786631522, 51.027354166656586], ""type"": ""Point""}";FILM65;Vooruit;Vooruit;Zwijnaardsesteenweg;0;9000;Gent;1926-1928;WIJK;417b86ae-e945-4545-8b51-efd25ddd3829;51.0273541667,3.72313978663
"{""coordinates"": [3.72115268627361, 51.02574783385027], ""type"": ""Point""}";FILM66;Vox;Vox;Zwijnaardsesteenweg;514;9000;Gent;1954-1961;WIJK;9b1d7744-1dbd-4605-905c-e35fc51c7d6c;51.0257478339,3.72115268627
