entiteitnummer;haltenummer;omschrijving;omschrijvingLang;gemeentenummer;omschrijvingGemeente;districtCode;geoCoordinaat;halteToegankelijkheden;hoofdHalte;taal;links;latitude;longitude;locatie
2;202546;Bernadette Kerk;Gent Bernadette Kerk;-1;Gent;GNT;"{""latitude"": 51.07604580655291, ""longitude"": 3.7523440319873305}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202546""}]";51.07604580655291;3.7523440319873305;51.07604580655291,3.7523440319873305
2;202547;Slotendries;Oostakker Slotendries;-1;Oostakker;OAK;"{""latitude"": 51.07990916373934, ""longitude"": 3.757145183133821}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202547""}]";51.07990916373934;3.757145183133821;51.07990916373934,3.757145183133821
2;202554;O.L.V. Straat;Oostakker O.L.V. Straat;-1;Oostakker;OAK;"{""latitude"": 51.080198482537774, ""longitude"": 3.7644480016720054}";"MOTORISCH_MET_ASSIST;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202554""}]";51.080198482537774;3.7644480016720054;51.080198482537774,3.7644480016720054
2;202555;Groenstraat;Oostakker Groenstraat;-1;Oostakker;OAK;"{""latitude"": 51.08164478771737, ""longitude"": 3.7677830511267896}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202555""}]";51.08164478771737;3.7677830511267896;51.08164478771737,3.7677830511267896
2;202558;Eksaardserijweg;Oostakker Eksaardserijweg;-1;Oostakker;OAK;"{""latitude"": 51.089560515811684, ""longitude"": 3.7688233190406173}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202558""}]";51.089560515811684;3.7688233190406173;51.089560515811684,3.7688233190406173
2;202559;Sint-Arnoutstraat;Oostakker Sint-Arnoutstraat;-1;Oostakker;OAK;"{""latitude"": 51.09216703846295, ""longitude"": 3.7705313838794483}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202559""}]";51.09216703846295;3.7705313838794483;51.09216703846295,3.7705313838794483
2;202565;Langerbruggestraat;Oostakker Langerbruggestraat;-1;Oostakker;OAK;"{""latitude"": 51.10250005921639, ""longitude"": 3.759120082235004}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202565""}]";51.10250005921639;3.759120082235004;51.10250005921639,3.759120082235004
2;202576;Kapelledreef;Sint-Kruis-Winkel Kapelledreef;-1;Sint-Kruis-Winkel;SKR;"{""latitude"": 51.15684212200999, ""longitude"": 3.8361425235180837}";"MOTORISCH_MET_ASSIST;MOTORISCHE_BEPERKING";;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202576""}]";51.15684212200999;3.8361425235180837;51.15684212200999,3.8361425235180837
2;202591;Mispelstraat;Desteldonk Mispelstraat;-1;Desteldonk;DSD;"{""latitude"": 51.12167197710455, ""longitude"": 3.790964913106563}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202591""}]";51.12167197710455;3.790964913106563;51.12167197710455,3.790964913106563
2;202592;Moleneinde;Desteldonk Moleneinde;-1;Desteldonk;DSD;"{""latitude"": 51.12198160532579, ""longitude"": 3.797331488968413}";MOTORISCH_MET_ASSIST;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202592""}]";51.12198160532579;3.797331488968413;51.12198160532579,3.797331488968413
2;202594;Busstraat;Desteldonk Busstraat;-1;Desteldonk;DSD;"{""latitude"": 51.12530603338492, ""longitude"": 3.8101754195330773}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202594""}]";51.12530603338492;3.8101754195330773;51.12530603338492,3.8101754195330773
2;202610;Kerkhof;Oostakker Kerkhof;-1;Oostakker;OAK;"{""latitude"": 51.10224359274459, ""longitude"": 3.7704882506877553}";;;N;"[{""rel"": ""detail"", ""url"": ""https://intra-azure.apps.addelijn.be/delijn-opendata-core/api/v1/haltes/2/202610""}]";51.10224359274459;3.7704882506877553;51.10224359274459,3.7704882506877553
